序号,英文品牌名,slug,中文展示名,国家/地区中文,国家/地区英文,品牌类型,库存数量,优先级,品牌库状态,示例商品,品牌卡片短简介（30-50字）,品牌详情页简介（100-200字）,品牌背景/故事（可选）,风格特点（3-5个关键词）,代表系列/代表斗型,适合人群,资料来源URL 1,资料来源URL 2,审核状态（待填写/待核验/可入库/暂不展示）,备注
71,Butz-Choquin,butz-choquin,,法国,France,历史/量产品牌,1,low,品牌库显示,,法国 Saint-Claude 传统品牌，历史悠久，经典法式斗型辨识度高。｜EN: Historic French brand from Saint-Claude with classic shapes and long heritage.,Butz-Choquin 是法国圣克洛德传统品牌之一，历史可追溯至 1858 年 Gustave Butz 与 Jean-Baptiste Choquin 的合作。品牌以法式经典斗型、装饰环和亲民系列为主。,最初的 Choquin 弯斗带有平底斗钵和长柄设计，后来品牌归入圣克洛德制造传统。现代 BC 产品需要关注生产时期与品牌延续情况。,法国传统；圣克洛德；经典斗型；历史品牌；价格友好,Maitre Pipier；Origine,喜欢法国传统和经典斗型的玩家,https://www.butzchoquin.com/,https://pipedia.org/wiki/Butz-Choquin,可入库,
72,Celius,celius,塞利乌斯,丹麦,Denmark,历史制斗师,1,low,品牌库显示,,"丹麦制斗师 Svend Axel Celius 的烟斗名号，与 Suhr’s Pibemageri 和 Pipe-Dan 传统有关。｜EN: Danish pipes by Svend Axel Celius, linked to Suhr’s Pibemageri and the Pipe-Dan tradition.",Celius 对应丹麦制斗师 Svend Axel Celius。Pipedia 资料显示，他约在 1959/60 年于哥本哈根 Suhr’s Pibemageri 开始制斗，并向 Poul Rasmussen 学习工艺。,Celius 后来与 Pipe-Dan 等丹麦烟斗圈有联系，属于丹麦手工斗黄金时期周边的重要制斗师之一。资料仍不算丰富，建议保守展示。,丹麦老派；Suhr 体系；Pipe-Dan 关联；手工斗,Celius；Handmade,丹麦老斗和小众制斗师爱好者,https://pipedia.org/wiki/Celius,https://pipedia.org/wiki/Holtorp,可入库,已找到 Pipedia 条目，可入库。
73,Dagner,dagner,,美国,United States,重复项/品牌别名,1,low,仅展示品牌名,,,,,,,,https://www.danishpipeshop.com/l/pipes/Dagner-Pipes-,https://pipedia.org/wiki/Dagner_Pipes,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
74,Eltang Basic,eltang-basic,,丹麦,Denmark,系列/单品,1,low,仅展示品牌名,,,,,,,,https://www.danishpipeshop.com/l/pipes/Eltang-Basic-Pipes-,https://www.eltang.com/,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
75,Finn Andersen,finn-andersen,芬恩·安德森,丹麦,Denmark,独立手工制斗师,1,low,品牌库显示,,"丹麦小众制斗师，作品戳记 Finn Andersen / Skovlunde，可能参与 Mr. Andersen 制作。｜EN: A lesser-known Danish pipemaker marked Finn Andersen / Skovlunde, possibly linked to Mr. Andersen pipes.","Finn Andersen 是较小众的丹麦制斗师。Pipedia 资料称其作品标记为 Finn Andersen, Skovlunde，并提到他可能是 Remo Sørensen 的 Mr. Andersen 烟斗制作者之一。",Finn Andersen 并未成为广为人知的名家，可能与手工丹麦斗市场低谷有关。现有资料仍带有不确定性，适合保守入库并保留备注。,丹麦小众；Skovlunde；Mr. Andersen 关联；资料有限,Finn Andersen；Mr. Andersen related,丹麦二手斗和小众制斗师收藏者,https://pipedia.org/wiki/Finn_Andersen,https://pipedia.org/wiki/Mr._Andersen,可入库,可入库但需保留“可能/关联”措辞。
76,Flemming,flemming,弗莱明·雅各布森,丹麦,Denmark,独立手工制斗师,1,low,品牌库显示,,"丹麦制斗师 Flemming Jakobsen，2012 年起制斗，位于 Svendborg。｜EN: Danish artisan Flemming Jakobsen, making pipes since 2012 in Svendborg.",Flemming 可对应丹麦制斗师 Flemming Jakobsen。公开资料显示其生于 1957 年，自 2012 年开始制作烟斗，位于丹麦 Svendborg，与 Tao、Ilsted 等丹麦制斗传统地理环境相近。,Flemming Jakobsen 的资料相对简短，但可确认其为丹麦制斗师。品牌库中不宜虚构系列，建议以“新近丹麦手工制斗师”呈现。,丹麦手工；Svendborg；新近制斗师；资料有限,Handmade；Flemming Jakobsen,关注当代丹麦小众制斗师的玩家,https://pipedia.org/wiki/Flemming_Jakobsen,https://pipedia.org/wiki/Category:Denmark,可入库,原表 Flemming 调整为 Flemming Jakobsen 相关条目。
77,Hartmann,hartmann,哈特曼,丹麦,Denmark,独立手工制斗师,1,low,品牌库显示,,"丹麦制斗师 Hans Hartmann 的烟斗名号，作品属于小众丹麦手工斗。｜EN: Danish handmade pipes by Hans Hartmann, a lesser-known artisan name.",Hartmann 对应丹麦制斗师 Hans Hartmann。Pipedia 资料收录其联系方式和丹麦地址，并将其列入丹麦手工制斗师脉络。系统资料较少，展示应以产地和手工属性为主。,Hartmann 不是大众品牌，但在丹麦手工斗资料库中有明确记录。品牌库可保守写为丹麦小众手工制斗师，不夸大知名度。,丹麦手工；小众制斗师；资料有限；二手市场,Handmade；Estate Hartmann,丹麦小众手工斗爱好者,https://pipedia.org/wiki/Hartmann,https://pipedia.org/wiki/Category:Denmark,可入库,已找到 Pipedia 条目，可入库但内容保守。
78,Holtorp,holtorp,霍尔托普,丹麦,Denmark,历史制斗师,1,low,品牌库显示,,"Pipe-Dan 周边的丹麦制斗师，Bird 斗型作品被视作丹麦经典之一。｜EN: A Danish maker around Pipe-Dan, whose Bird shape became a Danish classic.",Holtorp 是丹麦 Pipe-Dan 周边的制斗师。Pipedia 资料称他在 1960 年代至 1970 年代早期曾与 Sven Knudsen、Gert Holbek、Celius、Tom Eltang 等人一起工作，后期开设自己的工作室。,Holtorp 为 Pipe-Dan 制作的 Bird 形制被认为线条简洁，是丹麦设计中的经典造型之一。适合以老派丹麦设计和 Pipe-Dan 脉络展示。,Pipe-Dan；丹麦老派；Bird 斗型；简洁线条,Bird Shape；Pipe-Dan,丹麦老斗、Pipe-Dan 收藏者,https://pipedia.org/wiki/Holtorp,https://pipedia.org/wiki/Pibe-Dan,可入库,已找到 Pipedia 条目，可入库。
79,Jakobsen,jakobsen,,丹麦,Denmark,待核验品牌,1,low,仅展示品牌名,,,,,,,,https://www.danishpipeshop.com/,https://pipedia.org/wiki/Main_Page,仅展示品牌名,未查到足够可靠的公开品牌资料；品牌库可仅展示名称，不展开简介、背景或代表系列。
80,Ken Pipes,ken-pipes,,丹麦,Denmark,待核验品牌,1,low,仅展示品牌名,,,,,,,,https://www.danishpipeshop.com/,https://pipedia.org/wiki/Main_Page,仅展示品牌名,未查到足够可靠的公开品牌资料；品牌库可仅展示名称，不展开简介、背景或代表系列。
81,Kriswill,kriswill,克里斯威尔,丹麦,Denmark,历史量产品牌,1,low,品牌库显示,,"丹麦历史量产品牌，1960–70 年代与 Stanwell 并列为重要丹麦烟斗制造商。｜EN: A Danish historical factory brand, once a major maker alongside Stanwell in the 1960s–70s.",Kriswill 是丹麦历史烟斗品牌。Pipedia 资料称其创立于 1950 年代后期，是 1960–1970 年代丹麦两大烟斗制造商之一，规模可与 Stanwell 相提并论。,Kriswill 在丹麦烟斗出口黄金期具有代表性。今天更多以二手烟斗和老目录形式出现，适合作为丹麦历史量产品牌展示。,丹麦历史；量产大厂；1960-70年代；二手市场,Kriswill Handmade；Mainstay,丹麦老斗用户、历史品牌收藏者,https://pipedia.org/wiki/Kriswill,https://pipedia.org/images/d/d2/Kriswill-Catalog-April1970.pdf,可入库,可入库，建议重点展示。
82,KS Pipe,ks-pipe,,丹麦,Denmark,待核验品牌,1,low,仅展示品牌名,,,,,,,,https://www.danishpipeshop.com/,https://pipedia.org/wiki/Main_Page,仅展示品牌名,未查到足够可靠的公开品牌资料；品牌库可仅展示名称，不展开简介、背景或代表系列。
83,Lasse Skovgaard,lasse-skovgaard,拉塞·斯科夫高,丹麦,Denmark,独立手工制斗师,1,low,品牌库显示,,"丹麦制斗师 Lasse Skovgaard Jørgensen，Benni Jørgensen 之子，作品偏现代丹麦手工。｜EN: Danish artisan Lasse Skovgaard Jørgensen, son of Benni Jørgensen, known for modern Danish handmade pipes.",Lasse Skovgaard Jørgensen 是丹麦制斗师，Pipedia 资料显示其居住在丹麦西兰岛南部，早年即以制斗师身份出现。其父 Benni Jørgensen 也是丹麦制斗师。,Skovgaard 属于丹麦新一代独立制斗师脉络，作品也曾与 Stanwell 年度斗设计资料出现关联。适合以现代丹麦手工斗展示。,丹麦手工；新一代；家族制斗；现代线条,Skovgaard Handmade；Stanwell design related,关注现代丹麦手工斗的玩家,https://pipedia.org/wiki/Skovgaard,https://pipedia.org/wiki/Benni_Pipes,可入库,已找到 Pipedia 条目，可入库。
84,Leopold,leopold,,待定,TBD,待核验品牌,1,low,仅展示品牌名,,,,,,,,https://www.danishpipeshop.com/,https://pipedia.org/wiki/Main_Page,仅展示品牌名,未查到足够可靠的公开品牌资料；品牌库可仅展示名称，不展开简介、背景或代表系列。
85,Lyst Danmark,lyst-danmark,Lyst Danmark,丹麦,Denmark,系统斗/待核验品牌,1,low,品牌库显示,,丹麦 Lyst System 系统斗，采用特殊双层斗钵设计，资料有限。｜EN: Danish Lyst System pipes with a distinctive two-part bowl design.,Lyst Danmark 可对应 Lyst System。Pipedia 资料称 Lyst System 烟斗来自丹麦，标记为 Danmark，其“System”指两段式斗钵结构，有类似隐蔽 calabash 的设计思路。,Lyst System 的品牌史资料较少，但其结构特征比较明确。品牌库可作为特殊系统斗条目展示，内容保持简洁。,丹麦；系统斗；双层斗钵；结构设计,Lyst System,喜欢特殊结构和系统斗的用户,https://pipedia.org/wiki/Lyst_System,https://pipedia.org/wiki/Category:Denmark,可入库,原表 Lyst Danmark 调整为 Lyst System / Lyst Danmark 相关条目。
86,Masta,masta,马斯塔,英国,United Kingdom,历史系统斗品牌,1,low,品牌库显示,,英国历史烟斗品牌，约 1900 年创立，后并入 Parker-Hardcastle 体系。｜EN: A British historical pipe brand founded around 1900 and later absorbed into Parker-Hardcastle.,Masta 是英国历史烟斗品牌，Pipedia 资料称其约创立于 1900 年。1967 年 Parker Hardcastle Limited 成立后，Masta Patent Pipe Company 被纳入其中。,Masta 与英国系统斗和 Parker-Hardcastle / Dunhill 体系存在历史关联。今天更多以老斗和收藏资料形式出现。,英国历史；系统斗；Parker-Hardcastle；老斗收藏,Masta Patent；MastaFoster,英国老斗和系统斗收藏者,https://pipedia.org/wiki/Masta,https://pipedia.org/wiki/Hardcastle,可入库,已找到 Pipedia 条目，可入库。
87,Nording Compass,nording-compass,,丹麦,Denmark,系列/单品,1,low,仅展示品牌名,,,,,,,,https://www.nordingpipes.com/pipes,,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
88,Nørding Hunting Pipe 2023,nording-hunting-pipe-2023,,丹麦,Denmark,系列/单品,1,low,仅展示品牌名,,,,,,,,https://www.nordingpipes.com/pipes,,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
89,Nording Keystone/Shorty,nording-keystone-shorty,,丹麦,Denmark,系列/单品,1,low,仅展示品牌名,,,,,,,,https://www.nordingpipes.com/pipes,,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
90,Parker,parker,帕克,英国,United Kingdom,历史品牌/Dunhill 副线,1,low,品牌库显示,,英国历史烟斗品牌，与 Dunhill / Parker-Hardcastle 体系关系密切，常见于老斗市场。｜EN: A British historical pipe brand closely tied to Dunhill and Parker-Hardcastle.,Parker 是英国历史烟斗品牌，与 Dunhill、Hardcastle 和 Parker-Hardcastle 体系关系紧密。资料显示，Dunhill 曾收购 Parker Pipe，并在 1967 年将 Hardcastle 与 Parker 合并为 Parker-Hardcastle。,Parker 烟斗不应与 Parker 钢笔或工业品牌混淆。作为烟斗品牌，它更适合作为英国老斗和 Dunhill 副线脉络展示。,英国老斗；Dunhill 关联；Parker-Hardcastle；副线品牌,Parker-Hardcastle；Parker Super Briar Bark,英国老斗玩家、Dunhill 副线收藏者,https://pipedia.org/wiki/Dunhill,https://pipedia.org/wiki/Hardcastle,可入库,需避免与 Parker 钢笔/工业品牌混淆；本条为烟斗品牌。
91,Paul Olsen,paul-olsen,,丹麦,Denmark,重复项/拼写变体,1,low,仅展示品牌名,,,,,,,,https://pipedia.org/wiki/Olsen%2C_Poul,,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
92,Peter Heding,peter-heding,彼得·赫丁,丹麦,Denmark,独立手工制斗师,1,low,品牌库显示,,丹麦独立制斗师 Peter Heding 的手工烟斗，属于小众现代丹麦作品。｜EN: Handmade Danish pipes by independent artisan Peter Heding.,Peter Heding 是丹麦制斗师，Pipedia 收录其丹麦地址和 Heding Pipes 联系信息。公开资料不多，但可确认其为丹麦手工制斗师条目。,Peter Heding 的详细品牌史资料有限，品牌库不宜虚构师承和系列。建议以库存实物、手工属性和丹麦产地为主。,丹麦手工；小众制斗师；现代作品；资料有限,Heding Pipes；Handmade,关注小众丹麦制斗师的玩家,https://pipedia.org/wiki/Heding,https://www.danishpipeshop.com/l/pipes/-f%2C%2CMorta-Olive-Strawberry,可入库,可入库但内容需保持保守。
93,Pipe Key Ring,pipe-key-ring,,待定,TBD,非品牌项,1,low,仅展示品牌名,,,,,,,,,,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
94,Pipepack,pipepack,,待定,TBD,非品牌项,1,low,仅展示品牌名,,,,,,,,,,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
95,Rattray's The Witch Brushed Red 200,rattray-s-the-witch-brushed-red-200,,苏格兰,Scotland,系列/单品,1,low,仅展示品牌名,,,,,,,,https://www.rattrays-pipes.com/en/Rattray-s-The-Witch-Brushed-Red-203/17376,https://www.danishpipeshop.com/l/Pipes/Rattrays-Pipes-/-f%2C%2C%2C%2C%2C%2C%2C%2C%2C%2C%2CThe-Witch%2C%2C%2C%2C%2C%2C%2C%2COnly-available,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
96,Rattray's The Witch Brushed Red 201,rattray-s-the-witch-brushed-red-201,,苏格兰,Scotland,系列/单品,1,low,仅展示品牌名,,,,,,,,https://www.rattrays-pipes.com/en/Rattray-s-The-Witch-Brushed-Red-203/17376,https://www.danishpipeshop.com/l/Pipes/Rattrays-Pipes-/-f%2C%2C%2C%2C%2C%2C%2C%2C%2C%2C%2CThe-Witch%2C%2C%2C%2C%2C%2C%2C%2COnly-available,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
97,Rattray's The Witch Brushed Red 202,rattray-s-the-witch-brushed-red-202,,苏格兰,Scotland,系列/单品,1,low,仅展示品牌名,,,,,,,,https://www.rattrays-pipes.com/en/Rattray-s-The-Witch-Brushed-Red-203/17376,https://www.danishpipeshop.com/l/Pipes/Rattrays-Pipes-/-f%2C%2C%2C%2C%2C%2C%2C%2C%2C%2C%2CThe-Witch%2C%2C%2C%2C%2C%2C%2C%2COnly-available,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
98,Rattray's The Witch Brushed Red 203,rattray-s-the-witch-brushed-red-203,,苏格兰,Scotland,系列/单品,1,low,仅展示品牌名,,,,,,,,https://www.rattrays-pipes.com/en/Rattray-s-The-Witch-Brushed-Red-203/17376,https://www.danishpipeshop.com/l/Pipes/Rattrays-Pipes-/-f%2C%2C%2C%2C%2C%2C%2C%2C%2C%2C%2CThe-Witch%2C%2C%2C%2C%2C%2C%2C%2COnly-available,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
99,Rattray's The Witch Brushed Red 204,rattray-s-the-witch-brushed-red-204,,苏格兰,Scotland,系列/单品,1,low,仅展示品牌名,,,,,,,,https://www.rattrays-pipes.com/en/Rattray-s-The-Witch-Brushed-Red-203/17376,https://www.danishpipeshop.com/l/Pipes/Rattrays-Pipes-/-f%2C%2C%2C%2C%2C%2C%2C%2C%2C%2C%2CThe-Witch%2C%2C%2C%2C%2C%2C%2C%2COnly-available,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
100,Rattray's The Witch Brushed Red 205,rattray-s-the-witch-brushed-red-205,,苏格兰,Scotland,系列/单品,1,low,仅展示品牌名,,,,,,,,https://www.rattrays-pipes.com/en/Rattray-s-The-Witch-Brushed-Red-203/17376,https://www.danishpipeshop.com/l/Pipes/Rattrays-Pipes-/-f%2C%2C%2C%2C%2C%2C%2C%2C%2C%2C%2CThe-Witch%2C%2C%2C%2C%2C%2C%2C%2COnly-available,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
101,SON (Nording),son-nording,,丹麦,Denmark,历史副牌/待核验,1,low,仅展示品牌名,,,,,,,,https://rebornpipes.com/2017/12/06/breathing-new-life-into-a-son-freehand-an-early-nording-pipe/,,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
102,Svendborg,svendborg,斯文堡,丹麦,Denmark,历史工坊品牌,1,low,品牌库显示,,"丹麦 Svendborg Piber 工坊品牌，由 Jens Tao Nielsen 与 Poul Ilsted Bech 共同创立。｜EN: Danish workshop brand Svendborg Piber, founded by Jens Tao Nielsen and Poul Ilsted Bech.",Svendborg 对应 Svendborg Piber，是丹麦历史工坊品牌。Pipedia 资料显示，Jens Tao Nielsen 与 Poul Ilsted Bech 在 1970 年左右买下一家旧烟斗工厂并发展该品牌。,Svendborg Piber 在 1970 年代发展较好，后来 Tao Nielsen 与 Henrik Jørgensen 之间出现分歧，Tao 于 1981 年离开并开设自己的工作室。,丹麦历史工坊；Svendborg；Tao 关联；Ilsted 关联,Svendborg Piber；Tao-related,丹麦老斗、自由式历史爱好者,https://pipedia.org/wiki/Svendborg_Piber,https://pipedia.org/wiki/Jens_Tao_Nielsen,可入库,原表 Svendborg 建议规范为 Svendborg Piber。
103,Thurmann,thurmann,图尔曼,丹麦,Denmark,历史制斗师/工坊品牌,1,low,品牌库显示,,"丹麦 Bjørn Thurmann 的制斗名号，源于哥本哈根烟斗店与手工制斗传统。｜EN: Danish pipes by Bjørn Thurmann, rooted in Copenhagen pipe-shop and handmaking tradition.",Thurmann 对应 Thurmann Piber / Bjørn Thurmann。Pipedia 资料显示，其父母于 1953 年在哥本哈根市中心开设烟斗店，Bjørn 从早期便参与其中。,Thurmann Piber 属于丹麦较小众但有明确资料的历史制斗师/工坊名号。可作为丹麦老斗品牌页保守展示。,丹麦历史；哥本哈根；手工工坊；二手市场,Thurmann Piber；Handmade,丹麦老斗和小众工坊收藏者,https://pipedia.org/wiki/Thurmann_Piber,https://pipedia.org/wiki/Danish_Pipe_Brands_%26_Makers_R_-_T,可入库,已找到 Pipedia 条目，可入库。
104,White Star,white-star,白星,丹麦,Denmark,Georg Jensen 副牌/量产品牌,1,low,品牌库显示,,"丹麦 Georg Jensen 体系副牌，价格亲民，常见于实用型入门烟斗。｜EN: Danish Georg Jensen sub-brand, known for practical value-oriented pipes.",White Star 是丹麦 Georg Jensen 体系下的副牌/二线品牌，公开资料显示其原为 Georg Jensen 的子品牌。市场上常见 White Star 入门与实用型石楠根烟斗，风格偏简洁、价格友好，更适合作为日常使用选择，而非高端收藏线。,Danish Pipe Shop 与 Pipedia 均将 White Star 归入丹麦烟斗品牌/制斗名录，并指出它与 Georg Jensen 体系有关。由于资料多来自零售与烟斗百科来源，后续仍可补充更多品牌原始资料。,丹麦副牌；入门实用；价格友好；简洁斗型,Ancona,预算友好型玩家、新手、日常使用者,https://www.danishpipeshop.com/l/Pipes/White-Star-/-f%2C%2CShow-all,https://pipedia.org/wiki/Danish_Pipe_Brands_%26_Makers_U_-_Z,可入库,与第13行 White Star Pipes 归并；保留 White Star 为品牌页。
105,Willbo,willbo,威尔博,丹麦,Denmark,待核验品牌,1,low,仅展示品牌名,,,,,,,,https://pipedia.org/wiki/Willbo,https://pipedia.org/wiki/Danish_Pipe_Brands_%26_Makers_U_-_Z,仅展示品牌名,Pipedia 明确标注 Need Information / mystery pipe；可仅展示品牌名，不展开详情。
